id,domain,source,text_en,text_es
corp_01,historia_latam,wikipedia,"The Argentine War of Independence began in 1810 and resulted in the declaration of independence from Spain in 1816. The movement was part of a broader wave of revolutions that swept across Spanish America in the early nineteenth century, driven by Enlightenment ideals and the weakening of Spanish imperial power.","La Guerra de Independencia Argentina comenzó en 1810 y culminó con la declaración de independencia de España en 1816. El movimiento formó parte de una oleada más amplia de revoluciones que sacudió la América española a principios del siglo XIX, impulsada por los ideales ilustrados y el debilitamiento del poder imperial español."
corp_02,salud,wikipedia,"Dengue fever is a mosquito-borne viral infection that causes a severe flu-like illness. It is widespread in tropical and subtropical regions, particularly in urban and semi-urban areas. The virus is transmitted by female Aedes aegypti mosquitoes and less commonly by Aedes albopictus.","El dengue es una infección vírica transmitida por mosquitos que provoca una enfermedad febril grave similar a la gripe. Está ampliamente distribuida en regiones tropicales y subtropicales, especialmente en zonas urbanas y semiurbanas. El virus es transmitido principalmente por la hembra del mosquito Aedes aegypti y, en menor medida, por Aedes albopictus."
corp_03,tecnologia,wikipedia,"Artificial intelligence refers to the simulation of human intelligence processes by computer systems. These processes include learning, reasoning, and self-correction. Machine learning, a subset of AI, uses algorithms that improve through experience and data exposure without being explicitly programmed.","La inteligencia artificial se refiere a la simulación de procesos de inteligencia humana por parte de sistemas informáticos. Estos procesos incluyen el aprendizaje, el razonamiento y la autocorrección. El aprendizaje automático, una rama de la IA, utiliza algoritmos que mejoran a través de la experiencia y la exposición a datos sin ser programados explícitamente."
corp_04,geografia_latam,wikipedia,"The Amazon River is the largest river in the world by discharge volume and the second longest by length. It flows through the Amazon basin in South America, draining into the Atlantic Ocean in northern Brazil. The river system contains approximately twenty percent of all fresh water flowing into the oceans.","El río Amazonas es el río más caudaloso del mundo y el segundo más largo. Atraviesa la cuenca amazónica en América del Sur y desemboca en el océano Atlántico en el norte de Brasil. El sistema fluvial contiene aproximadamente el veinte por ciento de toda el agua dulce que fluye hacia los océanos."
corp_05,ciencia,wikipedia,"Climate change refers to long-term shifts in global temperatures and weather patterns. While some climate change is natural, since the mid-twentieth century human activities have been the main driver of climate change, primarily due to the burning of fossil fuels like coal, oil and gas.","El cambio climático se refiere a los cambios a largo plazo en las temperaturas globales y los patrones meteorológicos. Aunque parte del cambio climático es natural, desde mediados del siglo XX las actividades humanas han sido el principal motor del cambio climático, principalmente debido a la quema de combustibles fósiles como el carbón, el petróleo y el gas."
corp_06,cultura_latam,wikipedia,"Tango is a partner dance and musical genre that originated in the working-class neighborhoods of Buenos Aires and Montevideo in the late nineteenth century. It later spread to the rest of the world, becoming recognized by UNESCO in 2009 as an Intangible Cultural Heritage of Humanity.","El tango es un baile de pareja y género musical que surgió en los barrios de clase trabajadora de Buenos Aires y Montevideo a finales del siglo XIX. Posteriormente se extendió al resto del mundo y fue reconocido por la UNESCO en 2009 como Patrimonio Cultural Inmaterial de la Humanidad."
corp_07,economia,wikipedia,"Inflation is the rate at which prices for goods and services rise over time, reducing the purchasing power of a currency. Central banks attempt to limit inflation and avoid deflation to keep the economy running smoothly. Hyperinflation occurs when inflation is extremely high and accelerating.","La inflación es la tasa a la que suben los precios de bienes y servicios con el tiempo, lo que reduce el poder adquisitivo de una moneda. Los bancos centrales intentan limitar la inflación y evitar la deflación para que la economía funcione correctamente. La hiperinflación se produce cuando la inflación es extremadamente alta y se acelera."
corp_08,medicina,wikipedia,"Type 2 diabetes is a chronic condition characterized by high blood sugar levels and insulin resistance. It is the most common form of diabetes, accounting for approximately ninety percent of all diabetes cases worldwide. Risk factors include obesity, physical inactivity, family history, and age.","La diabetes de tipo 2 es una afección crónica caracterizada por niveles elevados de azúcar en sangre y resistencia a la insulina. Es la forma más común de diabetes, y representa aproximadamente el noventa por ciento de todos los casos de diabetes en el mundo. Los factores de riesgo incluyen la obesidad, el sedentarismo, los antecedentes familiares y la edad."
corp_09,historia_latam,wikipedia,"The Mexican Revolution was a major armed struggle that lasted from 1910 to 1920 and transformed Mexican culture and government. Initiated by Francisco Madero against the long-standing dictatorship of Porfirio Díaz, it eventually led to the promulgation of the Mexican Constitution of 1917.","La Revolución Mexicana fue una importante lucha armada que duró de 1910 a 1920 y transformó la cultura y el gobierno mexicanos. Iniciada por Francisco Madero contra la larga dictadura de Porfirio Díaz, culminó en la promulgación de la Constitución Mexicana de 1917."
corp_10,ecologia,wikipedia,"Biodiversity refers to the variety of life on Earth at all its levels, from genes to ecosystems. The Amazon rainforest is considered one of the most biodiverse places on the planet, home to around ten percent of all species known to science, many of which have not yet been described or catalogued.","La biodiversidad se refiere a la variedad de vida en la Tierra en todos sus niveles, desde los genes hasta los ecosistemas. La selva amazónica se considera uno de los lugares más biodiversos del planeta, alberga aproximadamente el diez por ciento de todas las especies conocidas por la ciencia, muchas de las cuales aún no han sido descritas o catalogadas."
